i;time_mip;res_mip;time_rw;res_rw;time_evo;res_evo
2;681.528933763504;(608963335.8989906, ['32425', '82121']);9.772868633270264;(608963335.8989463, ['32425', '82121']);72.69095230102539;(608963335.8989463, ['82121', '32425'])
3;721.2114522457123;(695732352.8472321, ['31098', '31555', '82121']);28.842532634735107;(693254820.5132396, ['31555', '32425', '82121']);100.42414140701294;(695732352.8472024, ['82121', '31555', '31098'])
4;787.6110112667084;(754926346.7928385, ['31087', '31098', '31555', '82121']);39.079548835754395;(749611281.2915592, ['31160', '31087', '31555', '82121']);83.79655337333679;(754926346.792801, ['82121', '31098', '31555', '31087'])
5;867.1321098804474;(811535895.5562859, ['31087', '31098', '31364', '31555', '82121']);50.03524088859558;(794601601.5094621, ['82121', '31555', '31395', '31098', '31087']);111.85309672355652;(807780464.4773937, ['82121', '31555', '31212', '31098', '31087'])
6;855.914281129837;(851211150.2729416, ['31087', '31098', '31364', '31395', '31555', '82121']);28.45827865600586;(829464477.9652858, ['31555', '31091', '31087', '31160', '82121', '31098']);75.5742597579956;(844234600.5297202, ['31555', '82121', '31087', '31098', '31160', '31364'])
7;2843.5771827697754;(883909855.2464185, ['31087', '31098', '31160', '31364', '31395', '31555', '82121']);40.24996590614319;(852633615.1954861, ['82121', '31212', '31087', '82020', '31555', '31098', '31395']);99.51777267456055;(876608784.1678025, ['31098', '82121', '31364', '31555', '31160', '32432', '31334'])
8;915.7999465465546;(915403852.6760631, ['31087', '31098', '31160', '31364', '31374', '31395', '31555', '82121']);37.311779737472534;(877154049.671891, ['82121', '31079', '31203', '31555', '31284', '32425', '31087', '31160']);85.48431992530823;(898530555.3855276, ['31555', '82121', '31098', '31364', '31203', '31160', '31442', '31087'])
9;858.5849783420563;(939494910.661215, ['31087', '31098', '31160', '31364', '31374', '31395', '31424', '31555', '82121']);26.099153757095337;(892155561.6637101, ['31291', '31364', '31116', '31555', '31297', '31395', '31087', '31473', '82121']);110.21273922920227;(924015274.7614505, ['82121', '31098', '31160', '31555', '31582', '31364', '31066', '31395', '31087'])
10;869.2714154720306;(958271347.6296041, ['31087', '31098', '31160', '31364', '31374', '31395', '31424', '31555', '81271', '82121']);23.493412733078003;(897900703.1372662, ['31516', '82121', '31203', '31297', '31261', '31582', '31364', '31555', '31098', '31561']);86.7383348941803;(940699883.5785604, ['31555', '31098', '31203', '82121', '31364', '31160', '31261', '31374', '81116', '31087'])
11;579.2188715934753;(973664401.0248519, ['31087', '31098', '31160', '31297', '31364', '31374', '31395', '31424', '31555', '81271', '82121']);42.36546230316162;(933041393.5059203, ['32432', '82121', '82194', '31555', '31395', '81271', '31098', '31516', '31582', '31203', '31291']);78.53123211860657;(953921832.5286225, ['82121', '31555', '31424', '31098', '31116', '31160', '31582', '81271', '31169', '31087', '31395'])
12;582.7151002883911;(987743301.8523376, ['31087', '31098', '31160', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);62.573463439941406;(943676395.2999971, ['31291', '82020', '31555', '82121', '31374', '31395', '31516', '31079', '32425', '31087', '81116', '31557']);157.54288744926453;(970901348.4808065, ['82121', '31555', '31374', '31160', '31098', '31395', '31561', '31087', '31079', '31364', '31297', '81271'])
13;571.4664046764374;(1000955570.6752728, ['31079', '31087', '31098', '31160', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);49.17939805984497;(952604745.2346326, ['31189', '31424', '31160', '81116', '82121', '31555', '31374', '31291', '31091', '31346', '32425', '31334', '31261']);107.51775336265564;(982487024.510664, ['82121', '31555', '31203', '31297', '31516', '31160', '31480', '31098', '81271', '31374', '31087', '31395', '31261'])
14;552.3837711811066;(1013023201.06589, ['31079', '31087', '31098', '31160', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);45.73388743400574;(980131922.078786, ['31261', '82057', '31473', '31582', '31098', '31160', '31555', '31116', '82121', '31273', '31248', '31203', '31291', '31087']);117.7217926979065;(998394055.4321363, ['31555', '31098', '82121', '31395', '31374', '31297', '31160', '31273', '31087', '31203', '31291', '31079', '31458', '81271'])
15;546.0727124214172;(1022973084.9915361, ['31079', '31087', '31098', '31160', '31203', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);51.71983480453491;(988012901.7457167, ['31098', '31424', '31203', '31087', '31555', '31582', '31273', '31334', '31473', '31032', '31079', '31091', '31169', '31160', '82121']);66.5629255771637;(1011726990.665078, ['31555', '31364', '82121', '31395', '31087', '31098', '31079', '31160', '31424', '31297', '31374', '31066', '31473', '31291', '31091'])
16;542.1723392009735;(1031095645.0346969, ['31079', '31087', '31098', '31160', '31203', '31248', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);72.25021028518677;(992434084.3938053, ['31297', '31334', '82020', '31248', '31098', '81116', '31087', '31160', '31424', '31555', '31212', '31032', '31116', '82121', '31374', '31516']);78.2355260848999;(1018945489.2633076, ['31098', '82121', '31555', '31087', '31516', '31424', '31160', '31364', '31395', '81271', '31374', '31248', '31184', '31473', '31035', '31291'])
17;541.2910869121552;(1038640454.5472208, ['31079', '31087', '31098', '31160', '31184', '31203', '31248', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);28.624101161956787;(997526615.3159975, ['31053', '31374', '31473', '82121', '31555', '31087', '31160', '31557', '31424', '31098', '31395', '31212', '31284', '81271', '31561', '31066', '32425']);63.39447045326233;(1026952720.7754438, ['82121', '31364', '31555', '31160', '31087', '31098', '31374', '31203', '31291', '31473', '31424', '81271', '31297', '31526', '31079', '31395', '31032'])
18;537.655745267868;(1046003323.9946077, ['31079', '31087', '31098', '31160', '31184', '31203', '31248', '31261', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '81271', '82121']);42.276355504989624;(1012691358.5510335, ['32425', '31582', '81271', '31395', '31555', '82020', '31035', '31189', '31297', '31098', '31516', '31424', '31473', '82121', '31184', '31291', '31160', '31079']);67.3991949558258;(1035085118.8287139, ['82121', '31561', '31555', '31297', '31473', '31098', '31160', '31395', '31424', '81271', '31087', '31291', '31374', '31032', '31364', '31334', '31149', '31079'])
19;529.6939520835876;(1052560728.9525453, ['31079', '31087', '31098', '31160', '31184', '31203', '31248', '31261', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31555', '31561', '81271', '82121']);37.509265422821045;(1024098755.0352716, ['31091', '31079', '31374', '31395', '82020', '31557', '31291', '82121', '31297', '31442', '31473', '31555', '31364', '31346', '31561', '31160', '31261', '31087', '32425']);146.21728658676147;(1041014165.3386627, ['82121', '31555', '31297', '31098', '31212', '31424', '31087', '31291', '31160', '31582', '31203', '31334', '31395', '81271', '31184', '31053', '31473', '31169', '31516'])
20;1358.4300849437714;(1057868157.5398768, ['31079', '31087', '31098', '31160', '31184', '31203', '31248', '31261', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31480', '31555', '31561', '81271', '82121']);64.52673006057739;(1031566187.5285069, ['82121', '31160', '31555', '31098', '31087', '82020', '32432', '31561', '31066', '31473', '31203', '31091', '31424', '82057', '31374', '31291', '31297', '31261', '31273', '31334']);84.17423915863037;(1045772733.2009351, ['82121', '31555', '31116', '31424', '31395', '81271', '31473', '31291', '31160', '31098', '31297', '31087', '31561', '31582', '31079', '31261', '31212', '31035', '31149', '31248'])
21;1988.2926633358002;(1063101078.189282, ['31079', '31087', '31098', '31160', '31184', '31203', '31248', '31261', '31291', '31297', '31364', '31374', '31395', '31424', '31473', '31480', '31555', '31557', '31561', '81271', '82121']);43.444058656692505;(1035984723.2630198, ['82020', '31116', '31079', '31032', '81116', '31087', '31346', '31160', '31374', '31364', '31355', '31098', '82121', '31395', '31480', '31261', '31473', '31555', '31203', '31297', '31561']);62.52779722213745;(1054183372.16377, ['82121', '31555', '31098', '31203', '31374', '31424', '31364', '81271', '31087', '31160', '31297', '31079', '31473', '31261', '31291', '31557', '31212', '31284', '31458', '31395', '31355'])
